reference,city,latitude,longitude,nearest_destination_id,nearest_destination_name
CA - Strathmore,Strathmore,51.03894869238282,-113.39479031558312,817,Calgary
CA - Sudbury,Sudbury,46.48421502147,-80.97377048018159,51539,Huntsville
CA - Summerside,Summerside,46.392590007498576,-63.78525187161686,5643,Prince Edward Island
CA - Sun Peaks,Sun Peaks,50.884239452253,-119.88414721017,22562,Kamloops
CA - Suneshine Village,Suneshine Village,51.17569732666,-115.57187652588,611,Banff
CA - Sunshine,Sunshine,51.1155431827395,-115.763238499755,611,Banff
CA - Surrey,Surrey,49.1515140869504,-122.78908349364173,616,Vancouver
CA - Swift Current,Swift Current,50.302653345540335,-107.78360009440112,22221,Montana
CA - Sydney,Sydney,46.13300018379724,-60.19685002121992,4413,Sydney
CA - Sylvan Lake,Sylvan Lake,52.31608194702167,-114.07456616129332,817,Calgary
CA - Sylvan Valley,Sylvan Valley,45.631927,-62.015873,50647,Cape Breton Island
CA - Taber,Taber,49.78087,-112.15302,817,Calgary
CA - Tadoussac,Tadoussac,48.142738342285,-69.715560913086,50497,Tadoussac
CA - Tagish,Tagish,60.31412704,-134.2716502,5420,Whitehorse
CA - Terrace,Terrace,54.5142607335938,-128.56767656836,261,British Columbia
CA - Terrebonne,Terrebonne,45.7228892,-73.617978,625,Montreal
CA - Teslin,Teslin,60.168324,-132.71188,5420,Whitehorse
CA - The Blue Mountains,The Blue Mountains,44.50332283952156,-80.3127228995508,50915,Collingwood
CA - Thessalon,Thessalon,46.265945,-83.57315,22876,Mackinaw City
CA - Thornhill,Thornhill,43.817082832845,-79.406796072591,623,Toronto
CA - Thorold,Thorold,43.123584873657,-79.1954108410645,773,Niagara Falls & Around
CA - Three Hills,Three Hills,51.67539971,-113.13553477,817,Calgary
CA - Thunder Bay,Thunder Bay,48.40739213305335,-89.26058369117531,29649,Upper Peninsula
CA - Timmins,Timmins,48.49195,-81.35643,51539,Huntsville
CA - Tofino,Tofino,49.12842041054687,-125.892936253906,30423,Vancouver Island
CA - Toronto,Toronto,43.668467786928005,-79.43655770155179,623,Toronto
CA - Tors Cove,Tors Cove,47.18628,-52.841953,28792,St John's
CA - Township of Woolwich,Township of Woolwich,43.5084498,-80.555872097168,50648,London
CA - Trail,Trail,49.0972285,-117.7227525,22363,Kootenay Rockies
CA - Trenton,Trenton,44.130390167236,-77.581680297852,28610,Peterborough & the Kawarthas
CA - Trois-Rivieres,Trois-Rivieres,46.32679503932539,-72.57693316440054,626,Quebec City
CA - Truro,Truro,45.364519906550456,-63.29095851472369,4403,Halifax
CA - Twillingate,Twillingate,49.65595083313,-54.7557405889895,28792,St John's
CA - Ucluelet,Ucluelet,48.9425955408692,-125.55314359336,30423,Vancouver Island
CA - University Endowment Area,University Endowment Area,49.271572,-123.24899,616,Vancouver
CA - Val D'or,Val D'or,48.098785,-77.75097,28611,Mont Tremblant
CA - Val-D'or,Val-D'or,48.1033725,-77.7992525,28611,Mont Tremblant
CA - Val-d'Or,Val-d'Or,48.100818634033,-77.774169921875,28611,Mont Tremblant
CA - Valcartier,Valcartier,46.942409515381,-71.473182678223,626,Quebec City
CA - Valemount,Valemount,52.82512566666667,-119.276818,5421,Jasper
CA - Vancouver,Vancouver,49.273920244766,-123.11999562650564,616,Vancouver
CA - Vaudreuil,Vaudreuil,45.4159230330078,-74.0166820561524,625,Montreal
CA - Vaudreuil Dorion,Vaudreuil Dorion,45.408436,-74.03411,625,Montreal
CA - Vaughan,Vaughan,43.79401301899948,-79.56159824429449,623,Toronto
CA - Vegreville,Vegreville,53.503246307373,-112.07884216309,28470,Edmonton
CA - Vernon,Vernon,50.27915976858522,-119.27635112728277,22366,Kelowna & Okanagan Valley
CA - Victoria,Victoria,48.42722264698965,-123.37070272450168,617,Victoria
CA - Victoriaville,Victoriaville,46.0771,-71.93134,626,Quebec City
CA - Ville de Quebec,Ville de Quebec,46.82893347740163,-71.25581789016731,626,Quebec City
CA - Waasis,Waasis,45.85244,-66.56541,22871,Saint John
CA - Wainwright,Wainwright,52.842479,-110.83576,28470,Edmonton
CA - Wakefield,Wakefield,45.634907,-75.935974,622,Ottawa
CA - Warman,Warman,52.329063,-106.57771,75,Canada
CA - Waterborough,Waterborough,45.906509399414,-66.01530456543,22871,Saint John
CA - Waterloo,Waterloo,43.484867966987856,-80.531082128471,50648,London
CA - Waterton Park,Waterton Park,49.05449367429617,-113.909691131225,50559,West Glacier
CA - Wawa,Wawa,47.97011722222223,-84.7864058888889,22876,Mackinaw City
CA - West Kelowna,West Kelowna,49.83337083802382,-119.61460971768544,22366,Kelowna & Okanagan Valley
